TABLE_NAME,TABLE_NUMBER,COMMODITY_DESCRIPTION,CLASS_DESCRIPTION,YEAR,REFERENCE_PERIOD_DESCRIPTION,LOCATION_DESCRIPTION,STATISTIC_DESCRIPTION,VALUE,UNIT_DESCRIPTION
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,35-PERCENT BROKEN,1985,February,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SUPER,1985,February,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SPECIAL,1985,February,THAILAND,FREIGHT ON BOARD PRICE,96.75,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,FRAGRANT WHITE RICE,1985,March,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,100-PERCENT GRADE B,1985,March,THAILAND,FREIGHT ON BOARD PRICE,186.38,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT PARBOILED,1985,March,THAILAND,FREIGHT ON BOARD PRICE,139.25,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT BROKEN,1985,March,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,15-PERCENT BROKEN,1985,March,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,25-PERCENT BROKEN,1985,March,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,35-PERCENT BROKEN,1985,March,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SUPER,1985,March,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SPECIAL,1985,March,THAILAND,FREIGHT ON BOARD PRICE,99.5,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,FRAGRANT WHITE RICE,1985,April,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,100-PERCENT GRADE B,1985,April,THAILAND,FREIGHT ON BOARD PRICE,178.3,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT PARBOILED,1985,April,THAILAND,FREIGHT ON BOARD PRICE,131.4,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT BROKEN,1985,April,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,15-PERCENT BROKEN,1985,April,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,25-PERCENT BROKEN,1985,April,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,35-PERCENT BROKEN,1985,April,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SUPER,1985,April,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SPECIAL,1985,April,THAILAND,FREIGHT ON BOARD PRICE,97,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,FRAGRANT WHITE RICE,1985,May,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,100-PERCENT GRADE B,1985,May,THAILAND,FREIGHT ON BOARD PRICE,177.38,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT PARBOILED,1985,May,THAILAND,FREIGHT ON BOARD PRICE,135.38,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT BROKEN,1985,May,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,15-PERCENT BROKEN,1985,May,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,25-PERCENT BROKEN,1985,May,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,35-PERCENT BROKEN,1985,May,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SUPER,1985,May,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SPECIAL,1985,May,THAILAND,FREIGHT ON BOARD PRICE,98.25,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,FRAGRANT WHITE RICE,1985,June,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,100-PERCENT GRADE B,1985,June,THAILAND,FREIGHT ON BOARD PRICE,179.25,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT PARBOILED,1985,June,THAILAND,FREIGHT ON BOARD PRICE,140.38,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT BROKEN,1985,June,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,15-PERCENT BROKEN,1985,June,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,25-PERCENT BROKEN,1985,June,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,35-PERCENT BROKEN,1985,June,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SUPER,1985,June,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SPECIAL,1985,June,THAILAND,FREIGHT ON BOARD PRICE,101.12,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,FRAGRANT WHITE RICE,1985,July,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,100-PERCENT GRADE B,1985,July,THAILAND,FREIGHT ON BOARD PRICE,185.49,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT PARBOILED,1985,July,THAILAND,FREIGHT ON BOARD PRICE,152.52,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT BROKEN,1985,July,THAILAND,FREIGHT ON BOARD PRICE,181.26,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,15-PERCENT BROKEN,1985,July,THAILAND,FREIGHT ON BOARD PRICE,167.02,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,25-PERCENT BROKEN,1985,July,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,35-PERCENT BROKEN,1985,July,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
